KIperKP,KontrasP,Solidity_Inti,HomogenitasP,Circularity_Inti,Keliling_Inti,LIperLP ,KelilingP,EntropiP,LuasNormal_P,EnergiP,Homogenitas_Inti,KelilingNormal_I,Entropi_Inti,Granularity_Inti,RerataGP,SolidityP,Energi_Inti,RerataRP,RerataR_Inti,CircularityP,LuasP,GranularityP,RerataG_Inti,RerataBP,Eccentricity,RerataB_Inti,Kontras_Inti,Luas_Inti
1,1.469072,365.63916,0.284168,0.834321,0.012288,5985,0.691407,4074,0.977506,0.461555,0.605784,0.705936,5.421196,1.652247,57.861412,17.307076,0.313383,0.279023,32.356148,52.361813,0.038355,50659,64.247421,9.618235,26.151211,0.774432,26.920105,88.827377,35026
1,2.97332,331.332642,0.241191,0.786225,0.003889,9027,0.512321,3036,1.257538,0.295795,0.490874,0.797798,7.728596,1.151711,57.068806,23.015001,0.318886,0.476626,43.983589,36.609653,0.067108,49223,71.078712,8.470799,36.436619,0.644784,21.463879,122.1147,25218
1,3.107852,362.650787,0.25613,0.810095,0.0054,9855,0.662707,3171,1.08017,0.462363,0.557663,0.696978,8.198835,1.643722,70.940239,19.423319,0.320502,0.27411,38.55278,65.209259,0.078698,62972,70.084961,14.776563,29.049969,0.628823,35.1353,143.390717,41732
1,2.447596,322.056091,0.25744,0.808634,0.010582,5955,0.656762,2433,1.092538,0.45764,0.555266,0.698993,5.82681,1.633766,67.048485,20.082453,0.325187,0.281108,38.585411,60.91338,0.096521,45467,69.54422,11.828444,29.301947,0.882411,30.31744,114.329361,29861
1,1.48506,321.116669,0.263526,0.812676,0.017937,4473,0.624915,3012,1.101562,0.400735,0.55607,0.745879,4.188202,1.433175,61.077282,21.30411,0.316057,0.348241,39.269436,49.175938,0.0633,45699,70.568481,10.13624,31.035839,0.581972,24.111277,84.243942,28558
1,1.727761,315.770508,0.272726,0.710595,0.005156,8682,0.378176,5025,1.688146,0.256911,0.317129,0.828577,6.255043,0.995836,59.589523,35.983669,0.31986,0.538398,66.994919,34.937733,0.0407,81782,78.955818,7.782355,48.305565,0.358794,19.4296,85.096565,30928
1,1.007035,412.668671,0.275885,0.76822,0.011067,5583,0.498122,5544,1.348064,0.303634,0.461062,0.802932,4.637043,1.136022,55.512218,29.745745,0.304677,0.473767,50.423473,36.368587,0.02253,55107,76.926392,8.043703,43.368145,0.596476,20.749704,66.752525,27450
1,0.952655,388.664093,0.258231,0.794497,0.01788,4467,0.564489,4689,1.208116,0.347095,0.516769,0.768578,3.90472,1.3144,64.331688,27.118477,0.311959,0.416743,46.046177,46.589565,0.028746,50295,77.197868,6.973385,39.53933,0.647296,22.409678,67.37072,28391
1,1.400424,312.048431,0.267715,0.81148,0.018569,3966,0.627155,2832,1.111899,0.408632,0.55174,0.740191,4.157233,1.448616,58.267696,20.802584,0.314912,0.338521,37.651176,47.908737,0.058068,37061,67.55088,10.22013,29.784599,0.371475,25.003973,72.669693,23243
1,1.562296,398.511627,0.264845,0.8229,0.008676,7185,0.634956,4599,1.025353,0.373324,0.593702,0.74956,5.813107,1.408536,64.400383,20.252523,0.303056,0.380814,36.464481,49.222588,0.03335,56133,70.463043,9.250178,29.876959,0.694004,25.961025,94.173897,35642
1,1.313368,342.110504,0.279186,0.846008,0.020835,4539,0.721202,3456,0.889582,0.477374,0.642905,0.690998,4.242056,1.688934,65.792824,16.722916,0.311002,0.263712,30.27767,62.292038,0.049832,47364,64.32283,10.420509,23.163704,0.577123,32.087273,78.573219,34159
1,0.813293,409.713806,0.26557,0.815657,0.020611,4038,0.581353,4965,1.087218,0.326656,0.564745,0.787849,3.52356,1.235054,60.31419,24.414928,0.296786,0.444371,39.830612,41.49641,0.023451,46003,72.818474,7.011298,34.313221,0.697139,21.586073,59.711632,26744
1,2.46988,392.801819,0.260568,0.812078,0.008125,7380,0.689679,2988,1.050909,0.494815,0.576613,0.666862,6.910112,1.778166,67.634727,18.386578,0.319558,0.241466,35.709278,66.263451,0.071867,51060,67.64978,11.861511,29.485962,0.774254,35.37344,135.020248,35215
1,2.326531,486.175598,0.250209,0.747404,0.004988,7866,0.540757,3381,1.403837,0.368959,0.44208,0.753433,7.622093,1.366803,66.551895,26.631989,0.315159,0.378334,51.783199,50.493156,0.049926,45416,77.437294,11.956417,41.472214,0.808804,28.226357,161.017487,24559
1,1.526733,369.436157,0.285074,0.774109,0.014746,4626,0.568045,3030,1.298846,0.384007,0.479389,0.746367,4.517578,1.413754,58.815289,25.19062,0.320125,0.366938,46.521717,45.863255,0.060507,44206,73.333389,8.760139,36.843788,0.297743,23.42441,88.012177,25111
1,2.350978,355.546356,0.273269,0.815114,0.009917,6129,0.662828,2607,1.060411,0.445388,0.573985,0.709255,5.938953,1.59881,65.328476,19.103577,0.323489,0.294412,37.666992,57.709782,0.082695,44725,70.379166,11.791226,29.74626,0.750414,30.254087,116.040253,29645
