KIperKP,KontrasP,Solidity_Inti,HomogenitasP,Circularity_Inti,Keliling_Inti,LIperLP,KelilingP,EntropiP,LuasNormal_P,EnergiP,Homogenitas_Inti,KelilingNormal_I,Entropi_Inti,Granularity_Inti,RerataGP,SolidityP,Energi_Inti,RerataRP,RerataR_Inti,CircularityP,LuasP,GranularityP,RerataG_Inti,RerataBP,Eccentricity,RerataB_Inti,Kontras_Inti,Luas_Inti
1,35026,5985,0.284168,57.861412,0.012288,52.361813,9.618235,26.920105,1.652247,0.279023,88.827377,0.705936,50659,4074,0.313383,64.247421,0.038355,32.356148,17.307076,26.151211,0.977506,0.605784,365.63916,0.834321,0.461555,5.421196,0.774432,0.691407.1.469072
1,25218,9027,0.241191,57.068806,0.003889,36.609653,8.470799,21.463879,1.151711,0.476626,122.1147,0.797798,49223,3036,0.318886,71.078712,0.067108,43.983589,23.015001,36.436619,1.257538,0.490874,331.332642,0.786225,0.295795,7.728596,0.644784,0.512321.2.97332
1,41732,9855,0.25613,70.940239,0.0054,65.209259,14.776563,35.1353,1.643722,0.27411,143.390717,0.696978,62972,3171,0.320502,70.084961,0.078698,38.55278,19.423319,29.049969,1.08017,0.557663,362.650787,0.810095,0.462363,8.198835,0.628823,0.662707.3.107852
1,29861,5955,0.25744,67.048485,0.010582,60.91338,11.828444,30.31744,1.633766,0.281108,114.329361,0.698993,45467,2433,0.325187,69.54422,0.096521,38.585411,20.082453,29.301947,1.092538,0.555266,322.056091,0.808634,0.45764,5.82681,0.882411,0.656762.2.447596
1,28558,4473,0.263526,61.077282,0.017937,49.175938,10.13624,24.111277,1.433175,0.348241,84.243942,0.745879,45699,3012,0.316057,70.568481,0.0633,39.269436,21.30411,31.035839,1.101562,0.55607,321.116669,0.812676,0.400735,4.188202,0.581972,0.624915.1.48506
1,30928,8682,0.272726,59.589523,0.005156,34.937733,7.782355,19.4296,0.995836,0.538398,85.096565,0.828577,81782,5025,0.31986,78.955818,0.0407,66.994919,35.983669,48.305565,1.688146,0.317129,315.770508,0.710595,0.256911,6.255043,0.358794,0.378176.1.727761
1,27450,5583,0.275885,55.512218,0.011067,36.368587,8.043703,20.749704,1.136022,0.473767,66.752525,0.802932,55107,5544,0.304677,76.926392,0.02253,50.423473,29.745745,43.368145,1.348064,0.461062,412.668671,0.76822,0.303634,4.637043,0.596476,0.498122.1.007035
1,28391,4467,0.258231,64.331688,0.01788,46.589565,6.973385,22.409678,1.3144,0.416743,67.37072,0.768578,50295,4689,0.311959,77.197868,0.028746,46.046177,27.118477,39.53933,1.208116,0.516769,388.664093,0.794497,0.347095,3.90472,0.647296,0.564489.0.952655
1,23243,3966,0.267715,58.267696,0.018569,47.908737,10.22013,25.003973,1.448616,0.338521,72.669693,0.740191,37061,2832,0.314912,67.55088,0.058068,37.651176,20.802584,29.784599,1.111899,0.55174,312.048431,0.81148,0.408632,4.157233,0.371475,0.627155.1.400424
1,35642,7185,0.264845,64.400383,0.008676,49.222588,9.250178,25.961025,1.408536,0.380814,94.173897,0.74956,56133,4599,0.303056,70.463043,0.03335,36.464481,20.252523,29.876959,1.025353,0.593702,398.511627,0.8229,0.373324,5.813107,0.694004,0.634956.1.562296
1,34159,4539,0.279186,65.792824,0.020835,62.292038,10.420509,32.087273,1.688934,0.263712,78.573219,0.690998,47364,3456,0.311002,64.32283,0.049832,30.27767,16.722916,23.163704,0.889582,0.642905,342.110504,0.846008,0.477374,4.242056,0.577123,0.721202.1.313368
1,26744,4038,0.26557,60.31419,0.020611,41.49641,7.011298,21.586073,1.235054,0.444371,59.711632,0.787849,46003,4965,0.296786,72.818474,0.023451,39.830612,24.414928,34.313221,1.087218,0.564745,409.713806,0.815657,0.326656,3.52356,0.697139,0.581353.0.813293
1,35215,7380,0.260568,67.634727,0.008125,66.263451,11.861511,35.37344,1.778166,0.241466,135.020248,0.666862,51060,2988,0.319558,67.64978,0.071867,35.709278,18.386578,29.485962,1.050909,0.576613,392.801819,0.812078,0.494815,6.910112,0.774254,0.689679.2.46988
1,24559,7866,0.250209,66.551895,0.004988,50.493156,11.956417,28.226357,1.366803,0.378334,161.017487,0.753433,45416,3381,0.315159,77.437294,0.049926,51.783199,26.631989,41.472214,1.403837,0.44208,486.175598,0.747404,0.368959,7.622093,0.808804,0.540757.2.326531
1,25111,4626,0.285074,58.815289,0.014746,45.863255,8.760139,23.42441,1.413754,0.366938,88.012177,0.746367,44206,3030,0.320125,73.333389,0.060507,46.521717,25.19062,36.843788,1.298846,0.479389,369.436157,0.774109,0.384007,4.517578,0.297743,0.568045.1.526733
1,29645,6129,0.273269,65.328476,0.009917,57.709782,11.791226,30.254087,1.59881,0.294412,116.040253,0.709255,44725,2607,0.323489,70.379166,0.082695,37.666992,19.103577,29.74626,1.060411,0.573985,355.546356,0.815114,0.445388,5.938953,0.750414,0.662828.2.350978
1,34941,6594,0.265592,63.807285,0.010098,53.763103,9.77624,28.153099,1.569887,0.318913,112.405159,0.721607,51451,4317,0.293459,67.198006,0.034693,33.319626,18.033606,27.01548,0.968228,0.61288,430.262573,0.829226,0.424221,5.743902,0.910415,0.679112.1.52745
1,29239,6813,0.269519,57.936794,0.007916,35.289276,7.857917,20.667152,1.041788,0.517255,74.533798,0.822122,50539,7371,0.261796,68.308342,0.011689,33.622459,20.321144,28.550669,0.939914,0.617041,486.48996,0.842501,0.272686,5.200763,0.325813,0.578543.0.924298
1,31878,7242,0.262312,64.379028,0.007638,55.027718,11.096008,29.552601,1.571759,0.312806,120.576416,0.718708,50939,3453,0.314916,70.972343,0.053687,40.994442,21.903347,32.057743,1.182543,0.527968,385.319977,0.790565,0.42787,6.631868,0.574257,0.625807.2.097307
1,29096,4362,0.29011,57.460918,0.019216,61.701305,9.412346,27.870367,1.851598,0.196843,79.851074,0.651777,38510,2484,0.312929,55.086273,0.07843,24.872036,13.608831,19.937069,0.860586,0.654455,290.921173,0.85539,0.545768,4.720779,0.68483,0.755544.1.756039
1,46363,10941,0.252406,65.951401,0.004867,53.80022,10.990617,26.756006,1.497099,0.339341,109.74424,0.729631,72910,8394,0.273246,70.023613,0.013003,38.115086,21.950966,30.090752,1.099305,0.560028,511.498016,0.80969,0.405821,8.068584,0.703403,0.635894.1.303431
1,38425,7836,0.246656,66.940697,0.007864,55.393589,13.650705,33.006355,1.567297,0.333404,145.667038,0.725335,52787,11529,0.281441,70.688354,0.004991,35.923504,23.520624,32.953842,1.012069,0.599376,489.694916,0.826411,0.411896,6.412438,0.457658,0.727925.0.679677
2,38508,4584,0.282091,86.519043,0.023029,69.265465,2.407056,36.146603,1.294388,0.361509,70.23159,0.789315,67287,4038,0.327345,89.591751,0.051857,57.455513,22.940983,42.857376,1.274188,0.484219,330.583557,0.782818,0.392099,3.655502,0.349206,0.572295.1.135215
2,29013,8940,0.22169,85.103142,0.004562,64.045326,1.680981,26.763433,1.217753,0.387401,83.940338,0.79304,56140,4350,0.314056,91.454796,0.037282,65.19133,21.13567,42.529499,1.518158,0.409616,375.799042,0.730394,0.363553,7.911504,0.367204,0.516797.2.055172
